[0.00s - 0.26s]  Mom,
[60.84s - 61.24s]  cut
[61.24s - 61.34s]  off
[61.34s - 61.48s]  your
[61.48s - 61.72s]  back.
[63.04s - 63.52s]  I
[63.52s - 63.56s] 'm
[63.56s - 63.74s]  going
[63.74s - 63.80s]  to
[63.80s - 64.34s]  cut
[64.34s - 64.48s]  off
[64.48s - 64.54s]  his
[64.54s - 64.78s]  back.
[65.48s - 65.96s]  I
[65.96s - 66.18s]  suddenly
[66.18s - 66.86s]  smiled.
[67.90s - 68.38s]  A
[68.38s - 68.58s]  bunch
[68.58s - 68.62s]  of
[68.62s - 68.70s]  people
[68.70s - 68.78s]  are
[68.78s - 69.02s]  like
[69.02s - 69.24s]  a
[69.24s - 69.24s]  mess.
[69.34s - 69.52s]  I
[69.52s - 69.72s]  think
[69.72s - 70.00s]  today
[70.00s - 70.42s]  Who
[70.42s - 70.56s]  can
[70.56s - 70.92s]  protect
[70.92s - 71.20s]  you?
[75.38s - 75.86s]  Three,
[76.28s - 76.70s]  two,
[77.06s - 77.38s]  one.
[78.30s - 78.68s]  What
[78.68s - 78.68s]  the
[78.68s - 78.86s]  hell
[78.86s - 79.12s]  are
[79.12s - 79.38s]  you?
[79.74s - 80.18s]  Actually,
[80.30s - 80.36s]  I
[80.36s - 80.44s] 'm
[80.44s - 80.68s]  a
[80.68s - 81.56s]  weight
[81.56s - 81.64s] lifting
[81.64s - 81.92s]  professional
[81.92s - 81.92s]  at
[81.92s - 81.92s]  the
[81.92s - 81.92s]  PE
[81.92s - 81.92s]  school.
[82.42s - 82.90s]  Why
[82.90s - 83.04s]  didn
[83.04s - 83.04s] 't
[83.04s - 83.04s]  you
[83.04s - 83.28s]  tell
[83.28s - 83.30s]  me
[83.30s - 83.38s]  earlier?
[83.54s - 83.74s]  You
[83.74s - 83.96s]  didn
[83.96s - 83.96s] 't
[83.96s - 84.10s]  give
[84.10s - 84.22s]  me
[84.22s - 84.28s]  a
[84.28s - 84.60s]  chance.
[84.98s - 85.24s]  Come
[85.24s - 85.44s]  on,
[85.52s - 85.74s]  let
[85.74s - 85.74s] 's
[85.74s - 85.74s]  go.
